Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
516,a,c,20,,,1,35,2010,"Mar,Jun,Sept,Dec"
621,a,a,30,7,2002,0,,,
882,a,a,30,4,2013,0,,,
988,a,a,30,11,2012,0,,,
1008,a,c,30,9,2010,0,,,
30,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
410,c,a,40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec"
692,a,a,40,8,2001,0,,,
983,a,a,40,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
1020,a,a,40,8,2015,0,,,
17,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
470,a,c,50,,,0,,,
473,a,a,50,,,0,,,
523,c,c,50,11,2013,0,,,
550,d,c,50,6,2015,0,,,
576,c,a,50,11,2006,0,,,
722,a,a,50,,,0,,,
756,a,c,50,,,1,40,2011,"Jan,Apr,Jul,Oct"
27,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
269,a,c,60,6,2015,0,,,
843,c,a,60,4,2006,0,,,
247,d,c,70,11,2010,1,5,2013,"Feb,May,Aug,Nov"
400,a,a,70,11,2004,1,14,2011,"Jan,Apr,Jul,Oct"
427,a,c,70,7,2005,1,13,2010,"Jan,Apr,Jul,Oct"
930,a,a,70,,,0,,,
1039,a,c,70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
256,a,c,80,9,2005,1,10,2014,"Mar,Jun,Sept,Dec"
657,c,c,80,1,2006,1,10,2014,"Jan,Apr,Jul,Oct"
703,a,a,80,6,2005,0,,,
335,b,a,90,,,1,31,2013,"Jan,Apr,Jul,Oct"
645,a,a,90,,,1,45,2009,"Feb,May,Aug,Nov"
665,a,a,90,12,2012,1,14,2011,"Jan,Apr,Jul,Oct"
905,a,a,90,6,2014,0,,,
906,a,a,90,7,2010,0,,,
916,a,a,90,11,2012,0,,,
1076,a,c,90,,,1,1,2013,"Jan,Apr,Jul,Oct"
166,a,c,100,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
377,a,c,100,6,2010,1,18,2010,"Feb,May,Aug,Nov"
690,a,a,100,,,0,,,
737,a,a,100,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
770,a,c,100,4,2015,0,,,
172,a,a,110,,,1,40,2014,"Jan,Apr,Jul,Oct"
205,a,a,110,12,2007,0,,,
759,a,a,110,11,2012,1,31,2013,"Feb,May,Aug,Nov"
829,c,a,110,,,0,,,
965,a,c,110,,,0,,,
1017,c,a,110,11,2008,0,,,
300,a,c,120,4,2009,1,1,2012,"Jan,Apr,Jul,Oct"
345,a,a,120,,,1,22,2012,"Jan,Apr,Jul,Oct"
449,a,c,120,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
526,a,a,120,,,1,48,2011,"Mar,Jun,Sept,Dec"
582,a,a,120,,,0,,,
384,a,c,130,,,1,14,2011,"Jan,Apr,Jul,Oct"
397,a,c,130,,,1,27,2013,"Feb,May,Aug,Nov"
893,a,a,130,,,1,1,2013,"Jan,Apr,Jul,Oct"
167,a,a,140,4,2008,0,,,
293,c,c,140,11,2007,0,,,
456,a,c,140,,,0,,,
475,a,a,140,9,2005,0,,,
817,a,a,140,3,2006,0,,,
1018,c,c,140,9,2012,0,,,
102,a,a,150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
215,d,a,150,,,1,45,2009,"Feb,May,Aug,Nov"
597,a,a,150,9,2008,1,1,2012,"Mar,Jun,Sept,Dec"
682,b,a,150,9,2006,0,,,
974,a,a,150,3,2011,1,40,2014,"Jan,Apr,Jul,Oct"
1028,a,a,150,,,1,31,2013,"Jan,Apr,Jul,Oct"
1037,a,c,150,,,0,,,
376,a,a,160,8,2012,0,,,
565,a,c,160,7,2007,0,,,
580,a,c,170,2,2009,0,,,
680,c,a,170,,,1,35,2012,"Mar,Jun,Sept,Dec"
896,a,c,170,9,2012,0,,,
1003,a,a,170,7,2013,1,27,2013,"Jan,Apr,Jul,Oct"
40,a,a,180,,,1,45,2009,"Feb,May,Aug,Nov"
264,a,a,180,3,2014,0,,,
570,a,a,180,11,2006,0,,,
699,a,a,180,,,1,5,2013,"Jan,Apr,Jul,Oct"
881,a,a,180,3,2008,1,31,2013,"Feb,May,Aug,Nov"
1058,a,c,180,,,1,35,2010,"Mar,Jun,Sept,Dec"
1086,a,a,180,11,2013,1,18,2011,"Feb,May,Aug,Nov"
216,c,a,190,,,1,45,2009,"Feb,May,Aug,Nov"
336,a,a,190,7,2014,0,,,
341,a,a,190,9,2011,0,,,
847,c,c,190,,,1,31,2013,"Feb,May,Aug,Nov"
894,a,a,190,11,2012,0,,,
1027,a,c,190,6,2008,1,40,2011,"Jan,Apr,Jul,Oct"
1062,d,a,190,9,2012,1,40,2012,"Feb,May,Aug,Nov"
1084,a,a,190,,,1,13,2010,"Jan,Apr,Jul,Oct"
651,a,a,200,,,0,,,
773,a,a,200,,,0,,,
1051,c,a,200,7,1998,1,1,2012,"Jan,Apr,Jul,Oct"
1099,a,c,200,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
259,b,b,210,,,0,,,
295,a,a,210,11,2000,1,36,2013,"Mar,Jun,Sept,Dec"
320,a,c,210,9,2012,0,,,
387,c,a,210,,,1,36,2013,"Mar,Jun,Sept,Dec"
1014,a,c,210,,,1,31,2013,"Jan,Apr,Jul,Oct"
195,a,c,220,,,0,,,
502,a,a,220,2,2002,1,37,2009,"Jan,Apr,Jul,Oct"
713,a,c,220,,,1,10,2014,"Jan,Apr,Jul,Oct"
734,a,a,220,,,1,36,2013,"Mar,Jun,Sept,Dec"
643,a,a,230,6,2010,1,18,2010,"Feb,May,Aug,Nov"
869,c,a,230,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
1009,a,a,230,7,2004,1,10,2014,"Jan,Apr,Jul,Oct"
92,c,a,240,,,1,45,2009,"Feb,May,Aug,Nov"
445,a,a,240,,,0,,,
672,c,a,240,9,2002,0,,,
839,c,a,240,1,2015,0,,,
1044,c,a,240,4,2015,1,13,2010,"Jan,Apr,Jul,Oct"
68,a,c,250,,,1,35,2012,"Mar,Jun,Sept,Dec"
253,a,c,250,,,1,5,2013,"Feb,May,Aug,Nov"
363,a,a,250,9,2009,0,,,
420,d,c,250,,,1,27,2012,"Jan,Apr,Jul,Oct"
426,a,a,250,,,0,,,
459,a,a,250,9,2008,1,5,2013,"Feb,May,Aug,Nov"
544,a,a,250,12,2001,1,13,2010,"Jan,Apr,Jul,Oct"
557,a,a,250,,,0,,,
586,a,c,250,10,2008,0,,,
613,c,a,250,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
827,a,c,250,1,2005,0,,,
907,a,c,250,,,0,,,
39,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov"
806,d,a,260,,,1,44,2010,"Feb,May,Aug,Nov"
962,c,a,260,,,0,,,
1104,d,a,260,2,2012,1,14,2011,"Jan,Apr,Jul,Oct"
47,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
133,a,a,270,8,2013,1,10,2014,"Mar,Jun,Sept,Dec"
964,a,a,270,,,1,5,2013,"Feb,May,Aug,Nov"
1032,d,c,270,2,2013,1,40,2012,"Jan,Apr,Jul,Oct"
145,a,a,280,,,1,45,2009,"Feb,May,Aug,Nov"
913,a,a,280,,,0,,,
923,a,a,280,9,2008,0,,,
42,a,c,290,,,1,40,2011,"Jan,Apr,Jul,Oct"
186,a,a,290,10,2011,1,40,2014,"Jan,Apr,Jul,Oct"
198,a,a,290,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
596,c,a,290,9,2006,0,,,
786,a,a,290,11,2006,1,5,2013,"Feb,May,Aug,Nov"
208,c,a,300,4,2006,0,,,
275,d,a,300,5,2014,1,40,2014,"Jan,Apr,Jul,Oct"
344,a,c,300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct"
480,a,a,300,11,2012,0,,,
